HOST:	OA
GUESTS:	G0	G1	G2	G3	G4	G5	G6	G7
RANK	FILE	NAME	CATEGORY	MUE	KENDALL	PEARSON	ANGULAR	INTERCEPT	LIN	OA-G0	OA-G1	OA-G2	OA-G3	OA-G4	OA-G5	OA-G6	OA-G7
36	bhns3-973-OA-nobufferModelA-1.txt	SOMD/AM1BCC-GAFF-TIP3P-NOBUFFER/MBAR/A		4.41375	0.571428571428567	0.876496075667224	1.67459684082821	-0.469044973257024	0.194567575965403	-10.47	-10.00	-14.67	-7.19	-13.34	-8.41	-8.66	-9.35
37	mdqkg-973-OA-bufferModelA-4.txt	SOMD/AM1BCC-GAFF-TIP3P/MBAR/A		5.145	0.571428571428566	0.862611359056833	1.80710833806928	-0.425433993139913	0.160919989907259	-11.03	-10.05	-14.98	-8.52	-15.50	-8.05	-10.22	-9.59
38	ogd0g-973-OA-submission-16.txt	US/PMF/MT/MD_16		2.925	0.785714285714278	0.955861464611758	0.520457229457118	-5.7291263507495	0.152762578982796	-8.61	-8.17	-9.88	-8.27	-9.88	-8.27	-8.21	-8.89
39	m0qdw-973-OA-submission-15.txt	US/PMF/MT/MD_15		3.97875	0.785714285714284	0.956225791319503	0.761363224144809	-5.37417854681323	0.128576985790584	-9.59	-8.94	-11.45	-9.09	-11.44	-9.10	-9.00	-10.00
40	8brzp-973-OA-WGatMSU-1.txt	EKEN-DIAZ/MD/MMPBSA		6.801975	0.642857142857138	0.917907641694275	2.22484423807854	0.360301682164268	0.121204929854409	-12.5818	-11.6401	-18.1635	-10.0210	-16.9746	-9.1263	-11.2557	-11.4328
41	e032m-973-OA-submission-8.txt	US/PMF/MT/MD_8		5.56875	0.357142857142853	0.384285969261318	0.95722542653656	-5.81887431832747	0.0703752811975356	-7.90	-10.16	-10.61	-11.59	-17.31	-6.97	-13.47	-13.32
42	null3-973-OA-null1-3.txt	NULL		24.92034378125	0.571428571428566	0.807678470458321	4.6142720494976	-3.78588797181281	0.0212574390865306	-32.58567159	-30.39634188	-41.37830685	-24.09193016	-41.25728435	-20.06602834	-29.96944836	-26.39773872
43	kuovg-973-OA-WGatMSU-1.txt	BSSE-corrected RI-B3PW91-D3 (SMD)/CBS		35.456075	0.28571428571428	-0.65977814967015	-9.01950863149582	-90.3157517226718	-0.02155144803781	-41.3616	-40.6674	6.5376	-47.9447	-48.1913	-38.3990	-43.1940	-47.3730
44	5r5n7-973-OA-WGatMSU-2.txt	BSSE-corrected RI-B3PW91 (SMD)/CBS		17.8552	-0.21428571428572	-0.77763997124407	-13.1442456963439	-87.3367017093709	-0.0874776930684683	-16.5671	-17.1499	44.5279	-17.6235	-13.4884	-16.4165	-23.3116	-23.7767
45	8fcb6-973-oa-ponder-1.txt	AMOEBA/BAR/Tinker		1.76875	-0.285714285714102	-0.482911845635951	-0.457952946961546	-7.75412985735764	-0.401202341122362	-7.23	-3.79	-3.54	-5.91	-4.12	-5.35	-5.92	-4.75
